procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11749868 115080 2500784    0    0    16     6  128   58  1  0 99  0  0
 0  0      0 11747380 115088 2498548    0    0     0   496 1885 2646  3  2 95  0  0
 1  0      0 11749004 115088 2498416    0    0     0   300 1886 2630  3  3 94  0  0
 1  0      0 11745304 115088 2498364    0    0     0   400 2390 3394  4  3 93  0  0
 1  0      0 11744664 115088 2498548    0    0     0   312 2365 2804  4  2 94  0  0
 1  0      0 11757200 115088 2498612    0    0     0   400 1897 2678  3  2 95  0  0
 1  0      0 11759436 115096 2498588    0    0     0   380 1617 2071  2  2 96  0  0
 1  0      0 11756868 115096 2498612    0    0     0   160 1381 1711  2  1 97  0  0
 1  0      0 11758824 115096 2498628    0    0     0    76 1117 1234  1  1 98  0  0
 0  0      0 11757304 115096 2498592    0    0     0    16  566  626  0  0 99  0  0
 0  0      0 11762332 115096 2498596    0    0     0   244 1088 1297  1  1 98  0  0
 0  0      0 11759512 115104 2498580    0    0     0   248 1037 1338  1  1 98  0  0
 0  0      0 11767704 115104 2498580    0    0     0   148 1007 1294  1  1 98  0  0
 0  0      0 11766148 115104 2498592    0    0     0     0  516  527  0  0 99  0  0
 0  0      0 11765648 115104 2498544    0    0     0     0  341  437  0  0 99  0  0
 1  0      0 11759248 115104 2498536    0    0     0   164 1049 1560  2  1 97  0  0
 1  0      0 11767812 115112 2498552    0    0     0   228  620  998  1  1 98  0  0
 2  0      0 11752552 115112 2498584    0    0     0   228 1422 1730  2  1 97  0  0
 1  0      0 11763952 115112 2498484    0    0     0   296 1695 2560  3  2 95  0  0
 1  0      0 11764352 115112 2498596    0    0     0   136 1224 1565  2  1 97  0  0
 1  0      0 11762524 115112 2498616    0    0     0   176 1220 1667  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11767288 115120 2498652    0    0     0   252 1052 1301  1  1 98  0  0
 0  0      0 11763680 115120 2498644    0    0     0   160 1284 1650  2  1 97  0  0
 0  0      0 11766764 115120 2498744    0    0     0   148 1069 1422  1  1 97  0  0
 0  0      0 11770636 115120 2498676    0    0     0   224 1044 1353  1  1 97  0  0
 0  0      0 11770384 115120 2498680    0    0     0     0  482  552  0  0 99  0  0
 0  0      0 11769880 115136 2498648    0    0     0   272  377  552  0  0 99  0  0
 0  0      0 11769628 115136 2498664    0    0     0     0  290  460  0  1 99  0  0
 0  0      0 11769376 115136 2498664    0    0     0    44  290  522  0  0 99  0  0
 1  0      0 11762548 115136 2498664    0    0     0    60  543  814  1  1 98  0  0
 1  0      0 11767840 115136 2498664    0    0     0    80  620  779  1  1 99  0  0
 1  0      0 11773200 115144 2498672    0    0     0   172  590  811  1  1 99  0  0
 0  0      0 11768520 115144 2498688    0    0     0    44  826 1098  1  1 99  0  0
 0  0      0 11768016 115144 2498704    0    0     0     0  329  447  0  0 99  0  0
 1  0      0 11768016 115144 2498704    0    0     0    40  219  358  0  0 100  0  0
 0  0      0 11768016 115160 2498704    0    0     0   176  261  418  0  0 100  0  0
 0  0      0 11767516 115160 2498704    0    0     0     0  266  415  0  0 100  0  0
 0  0      0 11767516 115176 2498704    0    0     0   100  304  500  0  0 99  0  0
 0  0      0 11767516 115176 2498704    0    0     0    16  305  481  0  0 99  0  0
 0  0      0 11766508 115176 2498704    0    0     0    32  375  458  0  0 99  0  0
 0  0      0 11776104 115176 2498692    0    0     0    64  723  916  1  1 98  0  0
 0  0      0 11769072 115176 2498676    0    0     0    64  669  922  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 11767624 115180 2498700    0    0     0   196  675  918  1  1 98  0  0
 0  0      0 11772024 115184 2498684    0    0     0     4  428  558  0  0 99  0  0
 0  0      0 11771140 115184 2498688    0    0     0    32  539  696  1  1 99  0  0
 0  0      0 11763932 115184 2498672    0    0     0    72  514  687  1  1 99  0  0
 0  0      0 11770160 115184 2498692    0    0     0    32  546  714  1  0 99  0  0
 0  0      0 11769160 115184 2498700    0    0     0    12  388  499  0  1 99  0  0
 0  0      0 11769160 115192 2498700    0    0     0   160  297  412  0  0 99  0  0
 0  0      0 11769160 115192 2498700    0    0     0     0  257  394  0  0 99  0  0
 0  0      0 11769160 115192 2498700    0    0     0    44  261  364  0  0 99  0  0
 0  0      0 11769160 115192 2498700    0    0     0     0  241  401  0  0 100  0  0
 1  0      0 11769160 115192 2498700    0    0     0     8  192  268  0  0 100  0  0
 0  0      0 11769160 115192 2498692    0    0     0     0  232  329  0  0 100  0  0
 0  0      0 11769160 115200 2498692    0    0     0    52  284  387  0  0 99  0  0
 0  0      0 11769160 115200 2498692    0    0     0     0  261  383  0  0 99  0  0
 0  0      0 11768908 115200 2498692    0    0     0     0  271  388  0  0 99  0  0
 0  0      0 11768656 115216 2498692    0    0     0   264  329  455  0  0 99  0  0
 0  0      0 11768156 115216 2498692    0    0     0     8  275  386  0  0 100  0  0
 0  0      0 11768408 115216 2498692    0    0     0     0  293  440  0  0 99  0  0
 0  0      0 11772064 115216 2498692    0    0     0     0  248  382  0  0 99  0  0
 0  0      0 11772064 115216 2498692    0    0     0     0  223  370  0  0 100  0  0
 0  0      0 11772064 115216 2498692    0    0     0     0  253  374  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11771816 115224 2498692    0    0     0    24  285  410  0  0 99  0  0
 0  0      0 11771568 115224 2498692    0    0     0     0  248  361  0  0 99  0  0
 1  0      0 11771568 115224 2498692    0    0     0     0  276  352  0  0 100  0  0
 0  0      0 11771568 115224 2498692    0    0     0     0  282  399  0  0 100  0  0
 0  0      0 11771568 115224 2498628    0    0     0     0  373  461  0  0 99  0  0
 0  0      0 11771568 115232 2498620    0    0     0    20  269  376  0  0 100  0  0
 0  0      0 11771316 115232 2498628    0    0     0     0  228  367  0  0 99  0  0
 1  0      0 11771316 115232 2498628    0    0     0     0  168  251  0  0 100  0  0
 1  0      0 11770244 115232 2498904    0    0    28     0 3087 2336  1  1 98  0  0
 0  0      0 11768740 115232 2498732    0    0     0     0 4521 2372  2  1 97  0  0
 0  0      0 11768240 115232 2498712    0    0     0     0  446  669  1  0 99  0  0
 0  0      0 11767736 115240 2498712    0    0     0    40  863 1647  2  1 97  0  0
 0  0      0 11771692 115240 2498712    0    0     0    32  582  713  1  1 99  0  0
 0  0      0 11771964 115240 2498712    0    0     0   108  666  689  0  1 99  0  0
 0  0      0 11773588 115240 2498620    0    0     0    32  651  861  1  1 99  0  0
 0  0      0 11772580 115240 2498592    0    0     0     0  369  614  0  0 99  0  0
